y,x,time
0,1,18:02:14
0,2,18:02:14
0,3,18:02:14
0,4,18:02:15
0,5,18:02:15
0,6,18:02:15
0,7,18:02:15
0,8,18:02:16
0,9,18:02:16
0,10,18:02:16
0,11,18:02:17
0,12,18:02:17
0.30000000000000004,13,18:02:17
0,14,18:02:17
0.30000000000000004,15,18:02:17
0,16,18:02:18
0.30000000000000004,17,18:02:18
0,18,18:02:18
0.30000000000000004,19,18:02:18
0,20,18:02:18
0.30000000000000004,21,18:02:18
0,22,18:02:19
0.30000000000000004,23,18:02:19
0,24,18:02:19
0,25,18:02:20
0,26,18:02:20
0,27,18:02:20
0,28,18:02:21
0,29,18:02:21
0,30,18:02:21
0,31,18:02:22
0,32,18:02:22
0,33,18:02:22
0,34,18:02:23
0,35,18:02:23
0,36,18:02:23
0.4,37,18:02:23
0,38,18:02:24
0.30000000000000004,39,18:02:24
0,40,18:02:24
0.30000000000000004,41,18:02:24
0,42,18:02:25
0.30000000000000004,43,18:02:25
0,44,18:02:25
0.30000000000000004,45,18:02:25
0.4,46,18:02:25
0.4,47,18:02:25
0.4,48,18:02:25
0.4,49,18:02:26
0.4,50,18:02:26
0.30000000000000004,51,18:02:26
0.4,52,18:02:26
1.0,53,18:02:26
0.30000000000000004,54,18:02:27
0.4,55,18:02:29
0.30000000000000004,56,18:02:29
0.30000000000000004,57,18:02:29
0.30000000000000004,58,18:02:30
0.30000000000000004,59,18:02:30
0.30000000000000004,60,18:02:30
0.30000000000000004,61,18:02:30
0.30000000000000004,62,18:02:30
0.30000000000000004,63,18:02:30
0.30000000000000004,64,18:02:30
0.30000000000000004,65,18:02:31
0.4,66,18:02:31
0.4,67,18:02:31
1.0,68,18:02:31
0.30000000000000004,69,18:02:31
0.0,70,18:02:31
0.4,71,18:02:31
1.0,72,18:02:31
1.0,73,18:02:32
0.30000000000000004,74,18:02:32
0.30000000000000004,75,18:02:32
0.4,76,18:02:32
1.0,77,18:02:32
0.30000000000000004,78,18:02:32
0.30000000000000004,79,18:02:32
0.4,80,18:02:32
1.0,81,18:02:32
1.0,82,18:02:33
0.4,83,18:02:33
1.0,84,18:02:33
0.30000000000000004,85,18:02:33
0.30000000000000004,86,18:02:33
1.0,87,18:02:33
0.30000000000000004,88,18:02:33
1.0,89,18:02:33
0.30000000000000004,90,18:02:33
0.30000000000000004,91,18:02:33
0,92,18:02:34
1.0,93,18:02:34
0,94,18:02:34
0.4,95,18:02:34
0,96,18:02:34
1.0,97,18:02:34
0,98,18:02:34
0.30000000000000004,99,18:02:34
0,100,18:02:34
1.0,101,18:02:34
0,102,18:02:34
0.30000000000000004,103,18:02:34
0,104,18:02:34
1.0,105,18:02:34
0,106,18:02:34
0.30000000000000004,107,18:02:34
0,108,18:02:34
1.0,109,18:02:34
0,110,18:02:34
0.30000000000000004,111,18:02:34
0,112,18:02:34
0.30000000000000004,113,18:02:34
0,114,18:02:34
0.30000000000000004,115,18:02:34
0,116,18:02:35
0.30000000000000004,117,18:02:35
0,118,18:02:35
1.0,119,18:02:35
0,120,18:02:35
0.30000000000000004,121,18:02:35
0,122,18:02:35
0.4,123,18:02:35
0,124,18:02:35
0.30000000000000004,125,18:02:35
0,126,18:02:35
0.4,127,18:02:35
0,128,18:02:35
1.0,129,18:02:35
